Vacancy,Employer,Description,Requirements,Link
Ночной специалист технической поддержки,Яндекс,"Отвечать на сообщения пользователей по почте и в чатах. Консультировать по вопросам, связанным с сервисами Яндекса. Передавать информацию разработчикам и...","Не устаёте от однообразных задач. Можете читать языки JavaScript, HTML и Python. Имеете высшее или неоконченное высшее образование, особенно техническое.",https://spb.hh.ru/vacancy/69704335?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Младший аналитик,БАЛТБЕТ,"Online- мониторинг потока информации.  Проверять статистические гипотезы.  Составлять отчеты, вести журналы по отмеченным несоответствиям в excel.  Работать с интернет-источниками.","Вы учитесь на 2 курсе или закончили Высшее математическое, техническое или экономическое образование.  Понимание основ программирования Python, R.  ",https://spb.hh.ru/vacancy/70108706?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
IT-Рекрутер,HIVE,"Нужно будет много общаться с разработчиками: выводить людей на разговор, проводить интервью, строить коммуникацию с клиентами, решать сложные и интересные...","Мы работаем в парадигме, что опыт амбициям не помеха, поэтому мы с радостью пообщаемся с вами, даже если у вас...",https://spb.hh.ru/vacancy/69672281?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Стажер-программист 1С,ПитерСофт,"Разрабатывать информационные системы на базе ""1С:Предприятие 8"". Составлять запросы, разрабатывать отчеты и печатные формы. И подготовитесь к сдаче...","Владение на базовом уровне одним из современных языков программирования (Python, Ruby, Java, C++, etc). Базовые знания в области учета и...",https://spb.hh.ru/vacancy/69670588?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Программист Python,ООО Траектория,Разработка новых web приложений. Принимать активное участие в обсуждении архитектурных решений. Проводить Code Review коллег. Автоматизация бизнес-процессов. ,...Python3. Понимание ООП. Понимание REST API. Базовые знания SQL. Опыт работы с одним из web framework Python(Flask/Django...,https://spb.hh.ru/vacancy/68831817?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Специалист по информационной безопасности (начинающий специалист),АО НИИ Рубин,"Участие в исследованиях программного обеспечения специального назначения с целью выявления уязвимостей, потенциально опасных алгоритмов и скрытых функциональных возможностей. ","Знание языков/навыки программирования: C/C++, Python (на выбор). Понимание фундаментальных принципов устройства и работы операционных систем (базовые навыки администрирования...",https://spb.hh.ru/vacancy/70818563?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Специалист по ценообразованию,"Лента, федеральная розничная сеть, Офис",Установка регулярных и промо цен. Организация процесса ценовых исследований. Проверка и обработка данных мониторингов цен и ассортимента конкурентов. ,"...сводные таблицы, мастера подстановки, основные логические и статистические функции), МS PowerPoint (обязательно: графики, схемы, оформление слайдов). SAP, Python - как преимущество.",https://spb.hh.ru/vacancy/70227173?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Младший инженер машинного обучения / ML Engineer Junior,Главстрой Санкт-Петербург,"Участие в реализации проектов с применением статистических и математических подходов(ML/DL) на накопленных данных. Формирование бизнесовых гипотез, дизайн и...","Владение SQL, Python (pandas, numpy, pytorch, keras, tensorflow). Желательно: MS SQL Server, MS Power BI.",https://spb.hh.ru/vacancy/70800587?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Преподаватель онлайн-школы программирования для подростков,MAXIMUM EDUCATION,"Провести их через увлекательный мир создания приложений, мультфильмов, сайтов, игр и других проектов по нашим подробным материалам. Домашние задания проверяются...","В том числе студент, выпускник или аспирант ведущего вуза. Имеешь опыт в области программирования (Python), опыт работы с Git. ",https://spb.hh.ru/vacancy/70018854?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Преподаватель в школу программирования «Алгоритмика»,Алгоритмика::Санкт-Петербург Фрунзенский р-н (ИП Бутаков Анатолий Николаевич),"Мониторинг работоспособности систем. Обработка и устранение проблем, связанных со сбоями в работе ПО и оборудования. Установка и настройка серверов компании. ","Обучать ребят 6-17 лет от базовых навыков печати, до программирования на языке Python собственных проектов.",https://spb.hh.ru/vacancy/70797522?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
